key,code,start-date-time,end-date-time,location,instructor,contact-email,optional-link,draft-mode,key:training-module
training-session-25,TS-JAV-135,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pe,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-26,TS-JAV-136,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-27,TS-JAV-137,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-28,TS-JAV-138,2020/09/05 08:00,2020/09/15 14:00,Sevilla,بيبي,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-29,TS-JAV-139,2020/09/05 08:00,2020/09/15 14:00,Sevilla,佩佩,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-30,TS-JAV-140,2020/09/05 08:00,2020/09/15 14:00,Sevilla,' OR 'x'='x,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-31,TS-JAV-141,2020/09/05 08:00,2020/09/15 14:00,Sevilla,<script>alert('Injected!');</script>,pepe@acme.com,https://pepe.com,false,training-module-01
training-session-32,TS-JAV-142,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee@aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacme.pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.cooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooom,https://pepe.com,false,training-module-01
training-session-33,TS-JAV-143,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee@aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacme.pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.coooooooooooooooooooooooooooooooooooooooooooooooooooooooooooom,https://pepe.com,false,training-module-01
training-session-34,TS-JAV-144,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,,false,training-module-01
training-session-35,TS-JAV-145,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,https://pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.com,false,training-module-01
training-session-36,TS-JAV-146,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,https://pepeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.com,false,training-module-01
training-session-37,TS-JAV-147,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,https://pepe.com?,false,training-module-01
training-session-38,TS-JAV-148,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,https://pepe.com?a,false,training-module-01
training-session-39,TS-JAV-149,2020/09/05 08:00,2020/09/15 14:00,Sevilla,Pepe,pepe@acme.com,https://pepe.com,true,training-module-37
